epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3619.44,0.69679,0.53817,1.03889,0.83986,0.80205,0.8805,0.6413,1.07689,1.15204,1.27081,0.00048275,0.00048275,0.00048275
64,3675.82,0.66936,0.54767,1.01935,0.92932,0.79614,0.8831,0.6667,1.03967,1.11574,1.24887,0.000470375,0.000470375,0.000470375
65,3732.56,0.69126,0.57776,1.04159,0.9506,0.78587,0.87555,0.63635,1.0614,1.23144,1.28428,0.000458,0.000458,0.000458
66,3788.43,0.67204,0.56196,1.02428,0.94905,0.78311,0.89576,0.65592,1.07017,1.04429,1.30123,0.000445625,0.000445625,0.000445625
67,3844.52,0.6541,0.5564,1.01461,0.87625,0.82129,0.90306,0.64406,1.07736,1.0482,1.27111,0.00043325,0.00043325,0.00043325
68,3900.53,0.68859,0.59356,1.01961,0.87149,0.84986,0.90255,0.64256,1.10156,1.1026,1.29482,0.000420875,0.000420875,0.000420875
69,3955.98,0.6626,0.54832,1.01198,0.93177,0.80565,0.88793,0.65633,1.05803,1.00112,1.26236,0.0004085,0.0004085,0.0004085
70,4012.88,0.65688,0.53889,1.00588,0.88516,0.8392,0.87031,0.64266,1.08582,1.07829,1.28764,0.000396125,0.000396125,0.000396125
71,4069.2,0.66292,0.51465,1.01474,0.86156,0.80532,0.85754,0.65609,1.06041,1.05422,1.25702,0.00038375,0.00038375,0.00038375
72,4125.79,0.61512,0.52334,0.97985,0.95261,0.77306,0.8532,0.63944,1.07207,0.9934,1.27429,0.000371375,0.000371375,0.000371375
73,4185.04,0.62156,0.51749,0.99729,0.88338,0.84052,0.87541,0.65878,1.01384,0.90966,1.21537,0.000359,0.000359,0.000359
74,4251.81,0.67586,0.557,1.0208,0.96214,0.81475,0.88,0.66948,1.00894,0.9623,1.22268,0.000346625,0.000346625,0.000346625
75,4318.93,0.64244,0.50874,1.01281,0.93026,0.80239,0.86437,0.66648,0.9924,1.02327,1.21076,0.00033425,0.00033425,0.00033425
76,4379.22,0.63717,0.54135,1.00463,0.92918,0.80603,0.85187,0.6402,1.03556,1.0552,1.24804,0.000321875,0.000321875,0.000321875
77,4441.65,0.628,0.50358,0.99308,0.88076,0.82836,0.86099,0.6563,1.0271,1.04512,1.2147,0.0003095,0.0003095,0.0003095
78,4508.47,0.64075,0.48207,1.00664,0.86574,0.78655,0.87624,0.64816,0.96384,1.06979,1.1892,0.000297125,0.000297125,0.000297125
79,4569.98,0.59393,0.47185,0.98356,0.80461,0.84764,0.85598,0.63569,0.98771,1.10117,1.20025,0.00028475,0.00028475,0.00028475
80,4625.01,0.6048,0.48288,0.99542,0.85414,0.79195,0.86708,0.65132,0.99917,1.10878,1.1953,0.000272375,0.000272375,0.000272375
81,4679.54,0.61895,0.49319,0.9974,0.86587,0.84469,0.90883,0.66904,1.01368,0.98528,1.24739,0.00026,0.00026,0.00026
82,4737.59,0.61359,0.46836,1.01823,0.95042,0.82578,0.91058,0.70248,1.04843,1.04203,1.23846,0.000247625,0.000247625,0.000247625
83,4794.75,0.6217,0.51119,0.99466,0.97749,0.85169,0.9149,0.68677,1.03198,1.09415,1.23416,0.00023525,0.00023525,0.00023525
84,4849.87,0.5833,0.45717,0.97895,0.95382,0.81942,0.9188,0.66944,1.05813,1.04389,1.28588,0.000222875,0.000222875,0.000222875
85,4903.02,0.58438,0.44856,0.96586,0.96753,0.81743,0.91916,0.68079,1.05279,1.03647,1.29466,0.0002105,0.0002105,0.0002105
